"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-1.51381398659959,3.18641226686391,-10.5357594997665,9.66706679468508e-24,3.18914224018519e-22,43.0342020978891,"ENSG00000080854"
-1.24039743319381,4.23009094792859,-10.5163636100702,1.14703826515487e-23,3.75839724440236e-22,42.8652346282275,"ENSG00000240694"
-1.22740141046664,3.90066650952865,-10.5120913320122,1.19104510428762e-23,3.89598713300985e-22,42.8280442326177,"ENSG00000224389"
-1.11456119772019,1.37660379326774,-10.5091311548256,1.22251585249609e-23,3.99217507777946e-22,42.8022815894215,"ENSG00000280285"
-1.06562895453959,8.08177343006614,-10.4868055963968,1.48802674286677e-23,4.80673663500842e-22,42.6081349656899,"ENSG00000223865"
-1.10003974338979,2.38829911743407,-10.425528453451,2.54850397500308e-23,7.98503708991239e-22,42.0766647127657,"ENSG00000114854"
-1.08373860381313,1.82708030987308,-10.418468636908,2.71112937355601e-23,8.48083382679367e-22,42.0155661803315,"ENSG00000064195"
-1.39330244831245,1.42638837337342,-10.4128987623809,2.84666992625842e-23,8.8904399054003e-22,41.9673816348374,"ENSG00000235584"
-1.18729262651764,3.65914080909422,-10.3929697046911,3.38909406872166e-23,1.0516527533953e-21,41.7951173938808,"ENSG00000123243"
-1.29045580546472,3.9133209055993,-10.3885704469509,3.5220185804188e-23,1.09114844866436e-21,41.7571203863722,"ENSG00000168477"
-1.78465892098335,5.67909745742764,-10.3857464250777,3.61006166601556e-23,1.11663539403861e-21,41.732734563098,"ENSG00000164120"
-1.65097677888278,4.10576532102587,-10.3618004598841,4.45002612779722e-23,1.35905063353201e-21,41.5261355888655,"ENSG00000100033"
-1.08245956455036,6.02344246092454,-10.3023684951773,7.46875402249292e-23,2.22474503486646e-21,41.0147522193088,"ENSG00000060656"
-1.00253819646696,7.29580665511215,-10.2946958833238,7.98397180938131e-23,2.35750324844064e-21,40.9488768362045,"ENSG00000138449"
-1.14944781975706,9.30332570359089,-10.2549970877286,1.12691348108245e-22,3.27109480725014e-21,40.6085586818942,"ENSG00000196126"
-1.35822113080063,4.66802511462113,-10.2290333045204,1.41114972236264e-22,4.05354330352372e-21,40.3864631483295,"ENSG00000175164"
-1.10373535276779,4.99600506864221,-10.2092299291146,1.67482298868387e-22,4.7614232378289e-21,40.2173195935515,"ENSG00000149328"
-1.25600102730345,9.2505576436039,-10.2060169897979,1.72198783256598e-22,4.87400714189833e-21,40.1898982913783,"ENSG00000185499"
